id,FULL_NAME,REGION,CITY,DISTRICT,LOCALITY,CLASS_OF_ROAD,ROAD_CATEGORY,LENGTH_POPIKETNO,ROADWAY_WIDTH,RANKS,COATING,COST,TRAFFIC_INTENSITY,TOP_SPEED,THROUGHPUT,ROAD_PART,CORE_NETWORK,VALUE_OF_THE_ROAD,DATA_CONFIRMATION,CONFIRM_USER,PLANNING_STRUCTURE,CATEGORY_SNIP,EMERGENCY_SECTION,ROAD_PART_OVERLOADED,CRITERION,DATA_EXPL,SQUARE,LOCATION_START,INTERNATIONAL,IDENTIFICATION_NUMBER_SECTION,NORM_PERCENTAGE,TIME_CONFIRMATION,SUBGRADE_WIDTH,HUMIDIFICATION_COND,OSTATOK,IS_CHECKED,UCHET_NUMBER,CLIMATIC_ZONE,BALANCE_STOIM,INTRACITY_TERRITORY,MESSAGE,geometry
200004711,ул Гагарина (000+000 - 1+850),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200007578,от х Колесники до х Громленовский (0+000 - 6+574),,,,,,,,,,,,,,,,,,,,,,,,,,29583.0,,,,,,,,,,,,0.0,,,
200008127,"""Курск - Борисоглебск"" - Кшенский - граница Липецкой области"" - Кшень - Панское"" - Мансурово (0+000 - 3+642)",,,,,,,,,,,,,,,,,,,,,,,,,,20362.0,,,,,,,,,,,,21777.822,,,
200008869,пер Природный (0+000 - 0+220),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200012414,Подъезд к п. Овражный от п. Крепинский (в границах п. Крепинский) (0+000 - 2+594),,,,,,,,,,,,,,,,,,,,,,,,,,15564.0,,,,,,,,,,,,1.0,,,
200015800,ул Центральная (0+000 - 0+900),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200020321,ул Жуковского (0+000 - 0+502),,,,,,,,,,,,,,,,,,,,,,,,,,2091.0,,,,,,,,,,,,1.0,,,
200022804,пер Юбилейный (0+000 - 0+140),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200024483,ул Почтовая (0+000 - 1+400),,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,0.1,,,
200027550,ул Школьная (0+000 - 0+550),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200027767,"Подъезд к ""Генетическому центру ""Корова и телёнок"" на 2400 голов в Троицком районе ООО АПО ""Казачья станица"" (0+000 - 3+984)",,,,,,,,,,,,,,,,,,,,,,,,,,23.90,,,,,,,,,,,,1.0,,,
200027932,"Московская область, городской округ Чехов, д. Бутырки (0000+000 - 0000+800)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200028324,ул Тенистая (0+000 - 1+200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200031108,ул. Луговая (0+000 - 0+300),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200031269,Внутрепоселковая  дорога на кладбище (0+000 - 0+500),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200032598,ул Советов (0+000 - 2+365),,,,,,,,,,,,,,,,,,,,,,,,,,10660.0,,,,,,,,,,,,0.001,,,
200032770,"А-104 ""Москва - Дмитров - Дубна"" - Поведники (0+000 - 7+090)",,,,,,,,,,,,,,,,,,,,,,,,,,42399.0,,,,,,,,,,,,1.0,,,
200034700,пер Ледовый (0+000 - 0+220),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200035571,ул Калинина (0+000 - 0+800),,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,,,,,,,,,,,,120.71,,,
200036257,"Натальевка - Питим - граница Воронежской области - подъезд к СК ""Натальевский"" (0+000 - 1+800)",,,,,,,,,,,,,,,,,,,,,,,,,,10800.0,,,,,,,,,,,,4884.0,,,
